,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2,2020-08-21,35-193,DEN,AWAY,UTA,L (-37),1,16:50,3,5,0.6,2,2,1.0,0,0,,1,1,2,1,0,1,1,2,8,6.3,-9,Paul Millsap
3,2020-08-23,35-195,DEN,AWAY,UTA,L (-2),1,35:21,6,13,0.462,2,6,0.33299999999999996,2,2,1.0,3,4,7,4,0,2,1,3,16,14.6,-2,Paul Millsap
4,2020-08-25,35-197,DEN,HOME,UTA,W (+10),1,19:10,1,4,0.25,0,1,0.0,2,2,1.0,1,2,3,1,0,0,1,3,4,1.4,-11,Paul Millsap
5,2020-08-30,35-202,DEN,AWAY,UTA,W (+12),1,19:05,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,0,5,5,0,1,0,2,2,5,3.0,-7,Paul Millsap
6,2020-09-01,35-204,DEN,HOME,UTA,W (+2),1,14:22,1,1,1.0,0,0,,0,0,,0,1,1,2,0,0,1,3,2,1.2,0,Paul Millsap
7,2020-09-03,35-206,DEN,AWAY,LAC,L (-23),1,23:51,3,6,0.5,1,3,0.33299999999999996,6,8,0.75,2,7,9,0,3,2,3,2,13,13.3,-16,Paul Millsap
8,2020-09-05,35-208,DEN,AWAY,LAC,W (+9),1,31:44,5,11,0.455,2,5,0.4,1,1,1.0,4,2,6,1,0,0,1,3,13,9.2,13,Paul Millsap
9,2020-09-07,35-210,DEN,HOME,LAC,L (-6),1,28:21,5,7,0.7140000000000001,0,0,,1,2,0.5,0,2,2,2,0,0,0,4,11,8.1,-6,Paul Millsap
10,2020-09-09,35-212,DEN,HOME,LAC,L (-11),1,14:05,0,1,0.0,0,0,,3,4,0.75,2,1,3,1,1,1,1,0,3,5.0,-15,Paul Millsap
11,2020-09-11,35-214,DEN,AWAY,LAC,W (+6),1,28:55,5,11,0.455,1,3,0.33299999999999996,6,8,0.75,1,5,6,1,1,0,1,3,17,12.2,2,Paul Millsap
12,2020-09-13,35-216,DEN,HOME,LAC,W (+13),1,21:15,2,5,0.4,0,2,0.0,2,4,0.5,2,3,5,2,1,0,1,3,6,5.0,1,Paul Millsap
13,2020-09-15,35-218,DEN,AWAY,LAC,W (+15),1,31:31,2,6,0.33299999999999996,2,4,0.5,0,0,,1,2,3,1,0,1,1,2,6,3.5,19,Paul Millsap
14,2020-09-18,35-221,DEN,AWAY,LAL,L (-12),1,20:47,2,5,0.4,1,1,1.0,0,0,,0,6,6,1,1,0,1,3,5,3.6,-13,Paul Millsap
15,2020-09-20,35-223,DEN,AWAY,LAL,L (-2),1,28:06,2,6,0.33299999999999996,0,1,0.0,2,3,0.667,3,5,8,1,0,0,3,2,6,2.7,9,Paul Millsap
16,2020-09-22,35-225,DEN,HOME,LAL,W (+8),1,31:01,2,8,0.25,0,3,0.0,2,2,1.0,1,7,8,1,0,1,1,4,6,2.8,11,Paul Millsap
17,2020-09-24,35-227,DEN,HOME,LAL,L (-6),1,16:48,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,1,5,6,3,0,0,3,5,5,2.6,8,Paul Millsap
18,2020-09-26,35-229,DEN,AWAY,LAL,L (-10),1,30:42,1,8,0.125,1,5,0.2,10,11,0.909,1,3,4,1,0,0,1,3,13,7.5,-8,Paul Millsap
0,2020-08-17,25-051,DEN,HOME,UTA,W (+10),0,29:19,6,9,0.667,2,3,0.667,0,1,0.0,0,3,3,4,1,1,1,1,14,13.7,10,Monte Morris
1,2020-08-19,25-053,DEN,HOME,UTA,L (-19),0,23:20,3,6,0.5,2,4,0.5,2,2,1.0,0,1,1,4,0,0,0,0,10,10.1,-8,Monte Morris
2,2020-08-21,25-055,DEN,AWAY,UTA,L (-37),0,24:15,2,7,0.28600000000000003,0,3,0.0,0,0,,0,0,0,2,0,0,2,0,4,-0.7,-32,Monte Morris
3,2020-08-23,25-057,DEN,AWAY,UTA,L (-2),1,35:37,3,10,0.3,0,4,0.0,1,2,0.5,0,2,2,3,2,0,0,3,7,4.3,-5,Monte Morris
4,2020-08-25,25-059,DEN,HOME,UTA,W (+10),1,18:11,1,5,0.2,0,2,0.0,2,2,1.0,1,3,4,3,0,0,1,1,4,3.2,-18,Monte Morris
5,2020-08-30,25-064,DEN,AWAY,UTA,W (+12),1,24:37,4,6,0.667,0,1,0.0,2,2,1.0,0,2,2,3,0,0,0,2,10,9.3,-9,Monte Morris
6,2020-09-01,25-066,DEN,HOME,UTA,W (+2),1,24:49,3,8,0.375,1,4,0.25,0,0,,0,3,3,5,3,0,0,1,7,9.6,4,Monte Morris
7,2020-09-03,25-068,DEN,AWAY,LAC,L (-23),0,17:17,5,11,0.455,0,3,0.0,2,2,1.0,2,2,4,1,0,0,1,2,12,7.2,-6,Monte Morris
8,2020-09-05,25-070,DEN,AWAY,LAC,W (+9),0,17:37,4,9,0.444,1,3,0.33299999999999996,1,1,1.0,0,0,0,2,0,0,0,1,10,6.3,1,Monte Morris
9,2020-09-07,25-072,DEN,HOME,LAC,L (-6),0,18:24,4,5,0.8,1,1,1.0,0,0,,0,1,1,4,0,0,1,0,9,9.2,7,Monte Morris
10,2020-09-09,25-074,DEN,HOME,LAC,L (-11),0,16:50,1,6,0.16699999999999998,0,1,0.0,3,4,0.75,0,1,1,0,1,0,0,2,5,1.3,-7,Monte Morris
11,2020-09-11,25-076,DEN,AWAY,LAC,W (+6),0,17:11,5,8,0.625,0,0,,2,2,1.0,0,0,0,1,3,0,1,1,12,10.7,2,Monte Morris
12,2020-09-13,25-078,DEN,HOME,LAC,W (+13),0,15:58,4,7,0.5710000000000001,1,2,0.5,1,1,1.0,0,1,1,4,0,0,0,0,10,9.8,6,Monte Morris
13,2020-09-15,25-080,DEN,AWAY,LAC,W (+15),0,13:12,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,0,0,1,0,5,3.4,-8,Monte Morris
14,2020-09-18,25-083,DEN,AWAY,LAL,L (-12),0,20:57,3,6,0.5,0,0,,2,4,0.5,0,1,1,3,1,1,1,2,8,6.5,-12,Monte Morris
15,2020-09-20,25-085,DEN,AWAY,LAL,L (-2),0,12:58,3,4,0.75,1,1,1.0,2,2,1.0,0,1,1,0,1,0,1,0,9,7.7,-7,Monte Morris
16,2020-09-22,25-087,DEN,HOME,LAL,W (+8),0,19:55,5,7,0.7140000000000001,2,4,0.5,2,2,1.0,0,1,1,1,0,0,0,2,14,11.3,10,Monte Morris
17,2020-09-24,25-089,DEN,HOME,LAL,L (-6),0,27:23,4,7,0.5710000000000001,0,2,0.0,4,5,0.8,1,1,2,4,0,0,0,1,12,11.7,-4,Monte Morris
18,2020-09-26,25-091,DEN,AWAY,LAL,L (-10),0,28:01,4,9,0.444,0,1,0.0,2,2,1.0,0,2,2,7,0,0,0,1,10,10.4,-10,Monte Morris
0,2020-08-17,23-176,DEN,HOME,UTA,W (+10),1,40:23,13,20,0.65,6,9,0.667,4,4,1.0,2,3,5,9,1,0,3,4,36,32.2,16,Jamal Murray
1,2020-08-19,23-178,DEN,HOME,UTA,L (-19),1,30:26,6,13,0.462,1,2,0.5,1,1,1.0,0,3,3,4,0,0,3,3,14,6.8,-20,Jamal Murray
2,2020-08-21,23-180,DEN,AWAY,UTA,L (-37),1,26:45,5,16,0.313,2,8,0.25,0,0,,1,4,5,6,1,1,1,3,12,8.4,-12,Jamal Murray
3,2020-08-23,23-182,DEN,AWAY,UTA,L (-2),1,43:09,18,31,0.581,9,15,0.6,5,5,1.0,4,7,11,7,0,1,0,2,50,45.2,5,Jamal Murray
4,2020-08-25,23-184,DEN,HOME,UTA,W (+10),1,41:22,17,26,0.654,4,8,0.5,4,4,1.0,3,5,8,8,1,0,0,3,42,39.6,20,Jamal Murray
5,2020-08-30,23-189,DEN,AWAY,UTA,W (+12),1,43:03,17,24,0.708,9,12,0.75,7,9,0.778,1,4,5,6,0,0,5,5,50,38.3,12,Jamal Murray
6,2020-09-01,23-191,DEN,HOME,UTA,W (+2),1,41:21,7,21,0.33299999999999996,1,6,0.16699999999999998,2,2,1.0,0,2,2,4,1,0,2,1,17,7.1,-4,Jamal Murray
7,2020-09-03,23-193,DEN,AWAY,LAC,L (-23),1,33:22,5,15,0.33299999999999996,2,8,0.25,0,0,,0,3,3,6,1,0,2,0,12,7.6,-18,Jamal Murray
8,2020-09-05,23-195,DEN,AWAY,LAC,W (+9),1,39:59,10,21,0.47600000000000003,3,8,0.375,4,5,0.8,0,3,3,6,2,1,3,3,27,19.5,0,Jamal Murray
9,2020-09-07,23-197,DEN,HOME,LAC,L (-6),1,38:20,5,17,0.294,2,7,0.28600000000000003,2,2,1.0,1,3,4,9,2,0,2,4,14,10.4,-6,Jamal Murray
10,2020-09-09,23-199,DEN,HOME,LAC,L (-11),1,44:18,6,15,0.4,2,3,0.667,4,4,1.0,1,3,4,7,1,0,4,0,18,13.4,-7,Jamal Murray
11,2020-09-11,23-201,DEN,AWAY,LAC,W (+6),1,39:50,9,25,0.36,5,7,0.7140000000000001,3,3,1.0,1,7,8,7,0,0,1,1,26,18.4,9,Jamal Murray
12,2020-09-13,23-203,DEN,HOME,LAC,W (+13),1,40:47,9,13,0.6920000000000001,1,2,0.5,2,3,0.667,1,4,5,5,2,0,1,2,21,20.7,14,Jamal Murray
13,2020-09-15,23-205,DEN,AWAY,LAC,W (+15),1,44:41,15,26,0.5770000000000001,6,13,0.462,4,4,1.0,0,4,4,5,1,0,5,1,40,28.1,15,Jamal Murray
14,2020-09-18,23-208,DEN,AWAY,LAL,L (-12),1,28:58,7,12,0.583,3,5,0.6,4,4,1.0,0,1,1,5,0,0,3,4,21,14.6,-21,Jamal Murray
15,2020-09-20,23-210,DEN,AWAY,LAL,L (-2),1,44:14,8,19,0.42100000000000004,2,9,0.222,7,8,0.875,0,6,6,4,2,2,5,1,25,17.1,16,Jamal Murray
16,2020-09-22,23-212,DEN,HOME,LAL,W (+8),1,43:43,10,17,0.588,4,8,0.5,4,7,0.5710000000000001,2,6,8,12,2,0,4,1,28,28.1,8,Jamal Murray
17,2020-09-24,23-214,DEN,HOME,LAL,L (-6),1,45:12,12,20,0.6,0,3,0.0,8,8,1.0,1,2,3,8,0,1,4,1,32,26.0,-8,Jamal Murray
18,2020-09-26,23-216,DEN,AWAY,LAL,L (-10),1,43:05,7,17,0.41200000000000003,0,4,0.0,5,5,1.0,2,2,4,8,1,0,5,3,19,12.3,-10,Jamal Murray
0,2020-08-17,30-165,DEN,HOME,UTA,W (+10),0,10:50,1,1,1.0,0,0,,0,0,,1,5,6,2,1,1,1,3,2,4.8,3,Mason Plumlee
1,2020-08-19,30-167,DEN,HOME,UTA,L (-19),0,12:44,0,3,0.0,0,0,,0,0,,3,5,8,2,0,0,0,2,0,2.1,-3,Mason Plumlee
2,2020-08-21,30-169,DEN,AWAY,UTA,L (-37),0,13:10,3,4,0.75,0,0,,0,0,,5,1,6,0,0,0,1,1,6,6.8,-13,Mason Plumlee
3,2020-08-23,30-171,DEN,AWAY,UTA,L (-2),0,8:40,1,2,0.5,0,0,,0,0,,2,1,3,2,0,1,0,1,2,4.4,-1,Mason Plumlee
4,2020-08-25,30-173,DEN,HOME,UTA,W (+10),0,5:09,0,1,0.0,0,0,,0,0,,0,1,1,1,0,1,1,1,0,-0.4,-5,Mason Plumlee
5,2020-08-30,30-178,DEN,AWAY,UTA,W (+12),0,11:34,0,0,,0,0,,0,0,,3,2,5,1,1,1,0,2,0,4.3,11,Mason Plumlee
6,2020-09-01,30-180,DEN,HOME,UTA,W (+2),0,8:21,0,0,,0,0,,0,0,,0,3,3,0,0,1,0,1,0,1.2,3,Mason Plumlee
7,2020-09-03,30-182,DEN,AWAY,LAC,L (-23),0,13:39,1,2,0.5,0,0,,2,4,0.5,3,2,5,3,2,2,0,4,4,8.8,-1,Mason Plumlee
8,2020-09-05,30-184,DEN,AWAY,LAC,W (+9),0,10:33,1,2,0.5,0,0,,0,0,,2,0,2,2,0,0,1,4,2,1.2,-6,Mason Plumlee
9,2020-09-07,30-186,DEN,HOME,LAC,L (-6),0,9:22,1,2,0.5,0,0,,0,0,,1,1,2,2,0,0,0,2,2,2.6,2,Mason Plumlee
10,2020-09-09,30-188,DEN,HOME,LAC,L (-11),0,9:07,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,3,0,-0.9,-4,Mason Plumlee
11,2020-09-11,30-190,DEN,AWAY,LAC,W (+6),0,11:00,2,3,0.667,0,1,0.0,2,2,1.0,2,1,3,1,0,0,0,2,6,6.3,-5,Mason Plumlee
12,2020-09-13,30-192,DEN,HOME,LAC,W (+13),0,8:22,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-0.8,4,Mason Plumlee
13,2020-09-15,30-194,DEN,AWAY,LAC,W (+15),0,7:52,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,2,3,1,-2.6,-4,Mason Plumlee
14,2020-09-18,30-197,DEN,AWAY,LAL,L (-12),0,20:33,4,6,0.667,0,0,,1,1,1.0,3,1,4,3,0,0,0,2,9,10.1,6,Mason Plumlee
15,2020-09-20,30-199,DEN,AWAY,LAL,L (-2),0,9:23,1,2,0.5,0,0,,0,0,,1,0,1,4,0,0,1,2,2,2.7,1,Mason Plumlee
16,2020-09-22,30-201,DEN,HOME,LAL,W (+8),0,4:35,0,1,0.0,0,0,,0,0,,1,1,2,1,0,0,1,1,0,-0.4,10,Mason Plumlee
17,2020-09-24,30-203,DEN,HOME,LAL,L (-6),0,13:32,1,2,0.5,0,0,,1,2,0.5,0,1,1,0,0,0,1,3,3,-0.3,-7,Mason Plumlee
18,2020-09-26,30-205,DEN,AWAY,LAL,L (-10),0,18:03,3,7,0.429,0,0,,1,1,1.0,4,1,5,0,0,0,0,2,7,5.6,-9,Mason Plumlee
0,2020-08-17,22-049,DEN,HOME,UTA,W (+10),1,31:11,5,13,0.385,3,7,0.429,0,0,,1,7,8,1,0,1,1,3,13,7.9,4,Michael Porter
1,2020-08-19,22-051,DEN,HOME,UTA,L (-19),1,32:55,10,17,0.588,6,9,0.667,2,3,0.667,0,6,6,0,0,1,0,1,28,21.8,-7,Michael Porter
2,2020-08-21,22-053,DEN,AWAY,UTA,L (-37),1,15:29,3,6,0.5,1,2,0.5,0,0,,1,4,5,0,0,0,2,3,7,2.7,-20,Michael Porter
3,2020-08-23,22-055,DEN,AWAY,UTA,L (-2),0,23:20,4,8,0.5,1,3,0.33299999999999996,0,0,,2,2,4,1,0,0,0,4,9,6.1,4,Michael Porter
4,2020-08-25,22-057,DEN,HOME,UTA,W (+10),0,33:55,5,11,0.455,3,7,0.429,2,2,1.0,0,5,5,1,1,1,2,2,15,10.4,18,Michael Porter
5,2020-08-30,22-062,DEN,AWAY,UTA,W (+12),0,28:07,1,7,0.14300000000000002,0,5,0.0,0,0,,0,12,12,1,0,0,1,0,2,0.8,21,Michael Porter
6,2020-09-01,22-064,DEN,HOME,UTA,W (+2),0,17:05,3,7,0.429,1,3,0.33299999999999996,3,5,0.6,3,6,9,2,2,0,3,1,10,9.4,8,Michael Porter
7,2020-09-03,22-066,DEN,AWAY,LAC,L (-23),0,23:21,2,9,0.222,0,6,0.0,1,1,1.0,0,6,6,0,1,0,2,2,5,-0.5,-6,Michael Porter
8,2020-09-05,22-068,DEN,AWAY,LAC,W (+9),0,16:16,5,10,0.5,1,5,0.2,0,0,,4,3,7,0,2,0,0,1,11,11.3,-4,Michael Porter
9,2020-09-07,22-070,DEN,HOME,LAC,L (-6),0,23:07,8,17,0.47100000000000003,2,6,0.33299999999999996,0,0,,4,6,10,1,3,0,1,3,18,15.4,6,Michael Porter
10,2020-09-09,22-072,DEN,HOME,LAC,L (-11),0,33:55,5,8,0.625,3,4,0.75,2,2,1.0,1,5,6,1,0,1,0,3,15,13.8,4,Michael Porter
11,2020-09-11,22-074,DEN,AWAY,LAC,W (+6),0,22:28,1,3,0.33299999999999996,1,2,0.5,4,4,1.0,0,5,5,1,0,1,1,1,7,6.8,13,Michael Porter
12,2020-09-13,22-076,DEN,HOME,LAC,W (+13),0,26:45,4,7,0.5710000000000001,3,6,0.5,2,4,0.5,0,7,7,0,0,1,2,2,13,8.9,12,Michael Porter
13,2020-09-15,22-078,DEN,AWAY,LAC,W (+15),0,14:47,0,2,0.0,0,2,0.0,2,2,1.0,1,6,7,0,0,0,1,2,2,1.3,1,Michael Porter
14,2020-09-18,22-081,DEN,AWAY,LAL,L (-12),0,28:59,3,9,0.33299999999999996,1,6,0.16699999999999998,7,8,0.875,1,9,10,4,1,0,2,2,14,12.9,5,Michael Porter
15,2020-09-20,22-083,DEN,AWAY,LAL,L (-2),0,19:57,6,9,0.667,2,4,0.5,1,2,0.5,2,2,4,0,0,0,2,5,15,8.7,-6,Michael Porter
16,2020-09-22,22-085,DEN,HOME,LAL,W (+8),0,21:53,4,6,0.667,1,2,0.5,0,0,,1,5,6,2,2,0,3,4,9,7.4,1,Michael Porter
17,2020-09-24,22-087,DEN,HOME,LAL,L (-6),0,20:31,5,8,0.625,3,6,0.5,0,0,,0,8,8,1,1,0,2,2,13,10.7,-1,Michael Porter
18,2020-09-26,22-089,DEN,AWAY,LAL,L (-10),0,17:07,4,7,0.5710000000000001,2,4,0.5,0,2,0.0,0,2,2,0,0,0,0,2,10,5.7,1,Michael Porter
2,2020-08-21,24-363,DEN,AWAY,UTA,L (-37),0,3:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,Noah Vonleh
0,2020-08-18,24-332,HOU,HOME,OKC,W (+15),0,2:04,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,-2,Bruno Caboclo
11,2020-09-12,24-357,HOU,AWAY,LAL,L (-23),0,4:30,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-0.9,+6,Bruno Caboclo
0,2020-08-18,34-022,HOU,HOME,OKC,W (+15),0,2:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,DeMarre Carroll
4,2020-08-29,34-033,HOU,HOME,OKC,W (+34),0,3:44,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,0,2,3.3,+5,DeMarre Carroll
4,2020-08-29,37-332,HOU,HOME,OKC,W (+34),0,0:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,,Tyson Chandler
4,2020-08-29,23-037,HOU,HOME,OKC,W (+34),0,3:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,Chris Clemons
11,2020-09-12,23-051,HOU,AWAY,LAL,L (-23),0,4:30,2,5,.400,2,5,.400,1,2,.500,0,1,1,0,0,0,0,0,7,4.2,+6,Chris Clemons
0,2020-08-18,29-248,HOU,HOME,OKC,W (+15),1,30:56,1,6,0.16699999999999998,1,5,0.2,0,0,,0,5,5,3,1,1,1,5,3,1.5,-8,Robert Covington
1,2020-08-20,29-250,HOU,HOME,OKC,W (+13),1,27:19,4,7,0.5710000000000001,2,5,0.4,0,0,,1,1,2,1,3,1,3,3,10,7.9,3,Robert Covington
2,2020-08-22,29-252,HOU,AWAY,OKC,L (-12),1,19:17,1,2,0.5,1,2,0.5,2,2,1.0,0,5,5,0,2,1,0,4,5,6.6,-16,Robert Covington
3,2020-08-24,29-254,HOU,AWAY,OKC,L (-3),1,34:11,5,11,0.455,4,8,0.5,0,0,,1,5,6,1,0,2,2,3,14,9.4,1,Robert Covington
4,2020-08-29,29-259,HOU,HOME,OKC,W (+34),1,31:17,8,14,0.5710000000000001,6,11,0.545,0,0,,1,6,7,3,3,0,1,3,22,20.8,36,Robert Covington
5,2020-08-31,29-261,HOU,AWAY,OKC,L (-4),1,37:59,7,11,0.636,4,6,0.667,0,0,,1,4,5,0,5,3,1,3,18,19.9,-9,Robert Covington
6,2020-09-02,29-263,HOU,HOME,OKC,W (+2),1,39:01,7,15,0.467,6,11,0.545,1,2,0.5,2,8,10,1,3,3,0,5,21,20.5,3,Robert Covington
7,2020-09-04,29-265,HOU,AWAY,LAL,W (+15),1,38:36,2,3,0.667,2,3,0.667,0,0,,0,7,7,2,4,1,0,5,6,10.9,5,Robert Covington
8,2020-09-06,29-267,HOU,AWAY,LAL,L (-8),1,38:24,5,10,0.5,4,8,0.5,3,3,1.0,0,3,3,0,1,1,1,3,17,12.4,5,Robert Covington
9,2020-09-08,29-269,HOU,HOME,LAL,L (-10),1,36:20,4,7,0.5710000000000001,2,4,0.5,0,0,,2,3,5,3,4,0,2,4,10,11.5,-13,Robert Covington
10,2020-09-10,29-271,HOU,HOME,LAL,L (-10),1,23:31,1,2,0.5,1,1,1.0,0,0,,0,3,3,1,2,0,1,2,3,3.8,-18,Robert Covington
11,2020-09-12,29-273,HOU,AWAY,LAL,L (-23),1,21:49,2,7,0.28600000000000003,1,4,0.25,0,0,,0,2,2,1,2,0,0,5,5,2.2,-21,Robert Covington
0,2020-08-18,26-163,HOU,HOME,OKC,W (+15),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Michael Frazier
4,2020-08-29,26-174,HOU,HOME,OKC,W (+34),0,3:44,1,3,.333,1,1,1.000,0,0,,0,2,2,1,0,0,1,0,3,1.6,+5,Michael Frazier
7,2020-09-04,26-180,HOU,AWAY,LAL,W (+15),0,1:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Michael Frazier
11,2020-09-12,26-188,HOU,AWAY,LAL,L (-23),0,4:30,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0,1.0,+6,Michael Frazier
0,2020-08-18,31-237,HOU,HOME,OKC,W (+15),1,30:22,7,17,0.41200000000000003,2,6,0.33299999999999996,5,5,1.0,0,3,3,4,0,0,2,3,21,12.4,-5,Eric Gordon
1,2020-08-20,31-239,HOU,HOME,OKC,W (+13),1,32:50,6,20,0.3,0,10,0.0,3,5,0.6,2,3,5,4,1,1,1,2,15,7.6,23,Eric Gordon
2,2020-08-22,31-241,HOU,AWAY,OKC,L (-12),1,41:05,8,24,0.33299999999999996,2,10,0.2,0,0,,0,3,3,2,1,3,5,3,18,3.6,-29,Eric Gordon
3,2020-08-24,31-243,HOU,AWAY,OKC,L (-3),1,31:08,8,15,0.5329999999999999,3,8,0.375,4,4,1.0,0,1,1,3,2,0,1,2,23,18.3,-5,Eric Gordon
4,2020-08-29,31-248,HOU,HOME,OKC,W (+34),1,32:16,9,17,0.529,0,3,0.0,2,2,1.0,3,1,4,3,2,0,1,3,20,16.0,24,Eric Gordon
5,2020-08-31,31-250,HOU,AWAY,OKC,L (-4),1,34:35,3,12,0.25,1,6,0.16699999999999998,2,2,1.0,0,4,4,6,2,1,4,3,9,4.7,-10,Eric Gordon
6,2020-09-02,31-252,HOU,HOME,OKC,W (+2),1,36:50,6,11,0.545,5,9,0.556,4,4,1.0,0,3,3,2,1,1,5,2,21,13.9,1,Eric Gordon
7,2020-09-04,31-254,HOU,AWAY,LAL,W (+15),1,34:04,7,14,0.5,3,8,0.375,6,6,1.0,1,2,3,1,0,1,0,1,23,18.3,1,Eric Gordon
8,2020-09-06,31-256,HOU,AWAY,LAL,L (-8),1,36:18,8,16,0.5,6,12,0.5,2,4,0.5,0,1,1,3,0,0,1,2,24,15.8,1,Eric Gordon
9,2020-09-08,31-258,HOU,HOME,LAL,L (-10),1,36:07,2,9,0.222,2,6,0.33299999999999996,4,4,1.0,0,2,2,4,0,0,1,1,10,6.5,-8,Eric Gordon
10,2020-09-10,31-260,HOU,HOME,LAL,L (-10),1,34:59,6,14,0.429,4,8,0.5,3,4,0.75,0,1,1,3,1,0,2,2,19,11.8,-17,Eric Gordon
11,2020-09-12,31-262,HOU,AWAY,LAL,L (-23),1,29:01,2,7,0.28600000000000003,1,4,0.25,0,0,,0,2,2,1,0,0,1,2,5,0.4,-28,Eric Gordon
0,2020-08-18,33-356,HOU,HOME,OKC,W (+15),0,32:20,8,12,0.667,3,7,0.429,3,4,0.75,0,6,6,4,1,0,1,3,22,19.8,28,Jeff Green
1,2020-08-20,33-358,HOU,HOME,OKC,W (+13),0,37:22,6,11,0.545,3,6,0.5,0,0,,1,6,7,0,0,0,3,1,15,8.8,13,Jeff Green
2,2020-08-22,33-360,HOU,AWAY,OKC,L (-12),0,38:23,8,13,0.615,5,8,0.625,1,2,0.5,0,7,7,3,1,2,0,3,22,21.1,5,Jeff Green
3,2020-08-24,33-362,HOU,AWAY,OKC,L (-3),0,31:42,4,10,0.4,2,6,0.33299999999999996,0,0,,1,4,5,3,0,0,1,2,10,6.8,-13,Jeff Green
4,2020-08-29,34-001,HOU,HOME,OKC,W (+34),0,30:41,3,11,0.273,3,7,0.429,0,0,,0,10,10,1,0,1,1,1,9,5.5,0,Jeff Green
5,2020-08-31,34-003,HOU,AWAY,OKC,L (-4),0,17:41,1,5,0.2,1,5,0.2,0,0,,0,7,7,0,0,0,3,2,3,-1.8,-8,Jeff Green
6,2020-09-02,34-005,HOU,HOME,OKC,W (+2),0,20:58,5,7,0.7140000000000001,3,4,0.75,0,0,,2,1,3,1,0,0,1,2,13,10.7,-10,Jeff Green
7,2020-09-04,34-007,HOU,AWAY,LAL,W (+15),0,24:14,3,5,0.6,1,3,0.33299999999999996,0,0,,0,4,4,2,3,0,2,2,7,7.5,16,Jeff Green
8,2020-09-06,34-009,HOU,AWAY,LAL,L (-8),0,21:46,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,1,4,0,-1.9,-26,Jeff Green
9,2020-09-08,34-011,HOU,HOME,LAL,L (-10),0,35:07,7,11,0.636,1,2,0.5,1,1,1.0,0,2,2,1,1,0,1,4,16,10.8,-5,Jeff Green
10,2020-09-10,34-013,HOU,HOME,LAL,L (-10),0,26:27,3,7,0.429,0,2,0.0,3,4,0.75,0,7,7,1,0,1,1,3,9,6.2,1,Jeff Green
11,2020-09-12,34-015,HOU,AWAY,LAL,L (-23),0,24:36,3,9,0.33299999999999996,1,3,0.33299999999999996,6,6,1.0,1,1,2,0,0,2,0,0,13,10.3,-7,Jeff Green
0,2020-08-18,30-358,HOU,HOME,OKC,W (+15),1,34:13,12,22,0.545,6,13,0.462,7,8,0.875,2,9,11,3,0,0,3,4,37,27.6,10,James Harden
1,2020-08-20,30-360,HOU,HOME,OKC,W (+13),1,35:48,5,16,0.313,2,11,0.182,9,9,1.0,0,5,5,9,3,1,0,4,21,21.7,-1,James Harden
2,2020-08-22,30-362,HOU,AWAY,OKC,L (-12),1,37:41,12,27,0.444,3,13,0.231,11,15,0.733,0,7,7,8,1,0,1,6,38,27.6,6,James Harden
3,2020-08-24,30-364,HOU,AWAY,OKC,L (-3),1,42:49,11,25,0.44,6,15,0.4,4,5,0.8,1,7,8,15,4,0,6,5,32,27.8,2,James Harden
4,2020-08-29,31-003,HOU,HOME,OKC,W (+34),1,28:24,11,15,0.733,4,8,0.5,5,6,0.833,0,2,2,5,1,1,3,3,31,26.1,28,James Harden
5,2020-08-31,31-005,HOU,AWAY,OKC,L (-4),1,38:38,11,22,0.5,3,11,0.273,7,8,0.875,1,7,8,7,0,0,5,2,32,22.5,6,James Harden
6,2020-09-02,31-007,HOU,HOME,OKC,W (+2),1,37:04,4,15,0.267,1,9,0.111,8,9,0.889,1,2,3,9,2,3,4,5,17,13.4,9,James Harden
7,2020-09-04,31-009,HOU,AWAY,LAL,W (+15),1,33:56,12,20,0.6,3,6,0.5,9,12,0.75,0,2,2,5,2,1,5,2,36,26.6,0,James Harden
8,2020-09-06,31-011,HOU,AWAY,LAL,L (-8),1,39:27,6,12,0.5,4,8,0.5,11,13,0.846,0,2,2,7,2,0,5,2,27,21.9,8,James Harden
